,episode_id,episodenbr,title,views,share,appreciation,chart,summary,date,doctorid,rating,votes,description,season,has_9,has_10,has_11,has_12,has_13,day_Mon,day_Sat,day_Sun,day_Tue
77,6.09,779,Night Terrors,7.07,29.8,86.0,19,No Summary Available,2011-09-03,11,7.1,3836,"Receiving a powerful distress call from a terrified little boy, the Doctor and his friends soon find that the monsters in his cupboard are real - and deadly.",6,0,0,1,0,0,0,1,0,0
78,6.1,780,The Girl Who Waited,7.60,38.8,85.0,13,No Summary Available,2011-09-10,11,8.5,4521,"Amy is trapped in a quarantine facility where time moves faster than in reality, while the Doctor is confined to the TARDIS. Can Rory save his wife in time?",6,0,0,1,0,0,0,1,0,0
79,6.11,781,The God Complex,6.77,28.3,86.0,18,No Summary Available,2011-09-17,11,8.1,4188,"The Doctor, Amy and Rory become trapped in a hotel of horrors unable to escape and unable to find the TARDIS. The Doctor must save as many people as he can taking many twists and seeing his own worst fear.",6,0,0,1,0,0,0,1,0,0
80,6.12,782,Closing Time,6.93,29.4,86.0,20,No Summary Available,2011-09-24,11,7.7,3924,"The Doctor makes one last stop before his death to see an old friend. But people are disappearing, there are reports of a silver rat and metal men are lurking in the shadows.",6,0,0,1,0,0,0,1,0,0
81,6.13,783,The Wedding of River Song,7.67,32.0,86.0,16,No Summary Available,2011-10-01,11,8.6,4890,"April 22nd, 2011; 5:02pm. Having finally accepted his fate the Doctor travels to Lake Silencio for his final day. But one woman refuses to let time take its course.",6,0,0,1,0,0,0,1,0,0
82,7.0,784,"The Doctor, the Widow, and the Wardrobe",10.77,37.3,84.0,3,No Summary Available,2011-12-25,11,7.3,4240,"It's Christmas Eve, 1938, when Madge Arwell comes to the aid of an injured Spaceman Angel as she cycles home. He promises to repay her kindness - all she has to do is make a wish. Three years later, a devastated Madge escapes war-torn London with her two children for a dilapidated house in Dorset. She is crippled with grief at the news her husband has been lost over the channel, but determined to give Lily and Cyril the best Christmas ever. The Arwells are surprised to be greeted by a madcap caretaker whose mysterious Christmas gift leads them into a magical wintry ...",7,0,0,1,0,0,0,0,1,0
83,7.01,785,Asylum of the Daleks,8.33,34.4,89.0,6,No Summary Available,2012-09-01,11,8.7,5729,"The Doctor, along with Amy and Rory who are headed for divorce, are kidnapped by the Daleks. They find themselves before the Dalek Parliament and the Doctor is quite surprised when he learns why: they want him to save them. A ship has crashed on the one place they will not go - the Asylum, where mad Daleks are sent to spend the rest of their days. Once there, they are assisted by the only survivor of the crash, Oswin, who has been there for a year awaiting rescue and making soufflés to pass the time. Which leads the Doctor to ask the most important question of all: ...",7,0,0,1,0,0,0,1,0,0
84,7.02,786,Dinosaurs on a Spaceship,7.57,31.9,87.0,9,No Summary Available,2012-09-08,11,7.5,4676,"After a lengthy absence, the Doctor returns to Earth and scoops up up Amy and Rory for yet another adventure. He also manages somehow to include Rory's dad, Brian Williams. Those aren't the only travelers however as Queen Nefertiti and big-game hunter John Riddell are also on board. The TARDIS next reappears on board a large ship and the Doctor is delighted to find a cargo of prehistoric dinosaurs on board. Using the ship's computers, Amy determines that the ship's crew is nowhere to be found. There is someone on board however who has no intention of giving up his ...",7,0,0,1,0,0,0,1,0,0
85,7.03,787,A Town Called Mercy,8.42,33.4,85.0,9,No Summary Available,2012-09-15,11,7.5,4452,"The Doctor gets a Stetson and a gun, and finds himself the reluctant Sheriff of a Western town under siege by a relentless cyborg who goes by the name of The Gunslinger. But who is he and what does he want?",7,0,0,1,0,0,0,1,0,0
86,7.04,788,The Power of Three,7.67,31.8,87.0,13,No Summary Available,2012-09-22,11,7.6,4279,"Earth is suddenly visited by millions of small black cubes of unknown origin. The Doctor joins Amy, Rory and Rory's father, Brian, to help discover what these cubes bring for humanity.",7,0,0,1,0,0,0,1,0,0
87,7.05,789,The Angels Take Manhattan,7.82,32.0,88.0,13,No Summary Available,2012-09-29,11,9.0,6253,"The Doctor takes Amy and Rory to New York, where the Weeping Angels are waiting for them. River Song returns.",7,0,0,1,0,0,0,1,0,0
